itemType,key,label,type,key1,key2,type1,type2,properties
link,2-85,Documenta Exchange,Contains,2,85,Dossier,Document,"{""Description"": {""value"": ""Nota sulle operazioni di cambio valuta sospette inclusa nel fascicolo principale""}}"
link,85-86,Coinvolge Exchange,Involves,85,86,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività presso il Quick Money Exchange""}}"
link,85-87,Coinvolge Titolare,Involves,85,87,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento della titolare dell'attività""}}"
link,86-88,Situato,BasedIn,86,88,Organization,Location,"{""Description"": {""value"": ""Indirizzo del Quick Money Exchange""}}"
link,87-86,Gestisce,Controls,87,86,Person,Organization,"{""Description"": {""value"": ""Sofia Romano gestisce il Quick Money Exchange""}}"
link,86-89,Contatto Exchange,Contact,86,89,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico del Quick Money Exchange""}}"
link,85-90,Contiene,Contains,85,90,Document,Document,"{""Description"": {""value"": ""La nota include il registro delle operazioni sospette""}}"
link,87-91,Utilizza,Uses,87,91,Person,Vehicle,"{""Description"": {""value"": ""Sofia Romano utilizza l'auto per trasporto contanti""}}"
link,87-68,AssociatoCon,AssociatedWith,87,68,Person,Person,"{""Description"": {""value"": ""Sofia Romano è collegata a Luigi Conti per operazioni di riciclaggio""}}"
link,87-74,AssociatoCon,AssociatedWith,87,74,Person,Person,"{""Description"": {""value"": ""Sofia Romano è collegata a Carlo Moretti per movimentazione denaro""}}"
link,46-86,Frequenta,Attends,46,86,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta il Quick Money Exchange""}}"
link,51-86,Frequenta,Attends,51,86,Person,Organization,"{""Description"": {""value"": ""Giovanni Esposito frequenta il Quick Money Exchange""}}"
link,2-92,Documenta Collegamenti,Contains,2,92,Dossier,Document,"{""Description"": {""value"": ""Nota sui collegamenti internazionali inclusa nel fascicolo principale""}}"
link,92-93,Coinvolge Agenzia,Involves,92,93,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività della Global Travel Agency""}}"
link,92-94,Coinvolge Titolare,Involves,92,94,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento della titolare dell'agenzia""}}"
link,93-95,Situato,BasedIn,93,95,Organization,Location,"{""Description"": {""value"": ""Indirizzo della Global Travel Agency""}}"
link,94-93,Gestisce,Controls,94,93,Person,Organization,"{""Description"": {""value"": ""Elena Costa gestisce la Global Travel Agency""}}"
link,93-96,Contatto Agenzia,Contact,93,96,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico della Global Travel Agency""}}"
link,92-97,Contiene,Contains,92,97,Document,Document,"{""Description"": {""value"": ""La nota include documentazione sui viaggi""}}"
link,94-98,Utilizza,Uses,94,98,Person,Vehicle,"{""Description"": {""value"": ""Elena Costa utilizza il BMW X5 per trasferimenti""}}"
link,94-87,AssociatoCon,AssociatedWith,94,87,Person,Person,"{""Description"": {""value"": ""Elena Costa è collegata a Sofia Romano per movimentazione denaro internazionale""}}"
link,94-74,AssociatoCon,AssociatedWith,94,74,Person,Person,"{""Description"": {""value"": ""Elena Costa è collegata a Carlo Moretti per operazioni immobiliari estere""}}"
link,46-93,Frequenta,Attends,46,93,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta la Global Travel Agency""}}"
link,51-93,Frequenta,Attends,51,93,Person,Organization,"{""Description"": {""value"": ""Giovanni Esposito frequenta la Global Travel Agency""}}"
link,2-99,Documenta Hotel,Contains,2,99,Dossier,Document,"{""Description"": {""value"": ""Nota sulle attività dell'Hotel Royal inclusa nel fascicolo principale""}}"
link,99-100,Coinvolge Hotel,Involves,99,100,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività presso l'Hotel Royal""}}"
link,99-101,Coinvolge Direttore,Involves,99,101,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento del direttore dell'hotel""}}"
link,100-102,Situato,BasedIn,100,102,Organization,Location,"{""Description"": {""value"": ""Indirizzo dell'Hotel Royal""}}"
link,101-100,Gestisce,Controls,101,100,Person,Organization,"{""Description"": {""value"": ""Marco Belli gestisce l'Hotel Royal""}}"
link,100-103,Contatto Hotel,Contact,100,103,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico dell'Hotel Royal""}}"
link,99-104,Contiene,Contains,99,104,Document,Document,"{""Description"": {""value"": ""La nota include i registri delle prenotazioni""}}"
link,101-105,Utilizza,Uses,101,105,Person,Vehicle,"{""Description"": {""value"": ""Marco Belli utilizza la Mercedes per trasporto ospiti""}}"
link,101-94,AssociatoCon,AssociatedWith,101,94,Person,Person,"{""Description"": {""value"": ""Marco Belli è collegato a Elena Costa per organizzazione soggiorni clienti esteri""}}"
link,101-87,AssociatoCon,AssociatedWith,101,87,Person,Person,"{""Description"": {""value"": ""Marco Belli è collegato a Sofia Romano per operazioni di riciclaggio""}}"
link,100-93,Partnership,Associates,100,93,Organization,Organization,"{""Description"": {""value"": ""Collaborazione tra Hotel Royal e Global Travel Agency""}}"
link,46-100,Frequenta,Attends,46,100,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta l'Hotel Royal""}}"
link,2-131,Documenta Sala Giochi,Contains,2,131,Dossier,Document,"{""Description"": {""value"": ""Nota sulle attività della Sala Giochi Vegas inclusa nel fascicolo principale""}}"
link,131-132,Coinvolge Sala Giochi,Involves,131,132,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività presso la Sala Giochi Vegas""}}"
link,131-133,Coinvolge Gestore,Involves,131,133,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento del gestore della sala giochi""}}"
link,132-134,Situato,BasedIn,132,134,Organization,Location,"{""Description"": {""value"": ""Indirizzo della Sala Giochi Vegas""}}"
link,133-132,Gestisce,Controls,133,132,Person,Organization,"{""Description"": {""value"": ""Fabio Leone gestisce la Sala Giochi Vegas""}}"
link,132-135,Contatto Sala,Contact,132,135,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico della Sala Giochi Vegas""}}"
link,131-136,Contiene,Contains,131,136,Document,Document,"{""Description"": {""value"": ""La nota include il registro delle vincite""}}"
link,133-137,Utilizza,Uses,133,137,Person,Vehicle,"{""Description"": {""value"": ""Fabio Leone utilizza l'Audi A6""}}"
link,133-87,AssociatoCon,AssociatedWith,133,87,Person,Person,"{""Description"": {""value"": ""Fabio Leone è collegato a Sofia Romano per operazioni di riciclaggio""}}"
link,133-126,AssociatoCon,AssociatedWith,133,126,Person,Person,"{""Description"": {""value"": ""Fabio Leone è collegato a Davide Russo per movimentazione crypto""}}"
link,132-125,Partnership,Associates,132,125,Organization,Organization,"{""Description"": {""value"": ""Collaborazione tra Sala Giochi Vegas e BitFast Exchange per riciclaggio""}}"
link,46-132,Frequenta,Attends,46,132,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta la Sala Giochi Vegas""}}"
link,51-132,Frequenta,Attends,51,132,Person,Organization,"{""Description"": {""value"": ""Giovanni Esposito frequenta la Sala Giochi Vegas""}}"
link,2-138,Documenta Operazioni Finanziarie,Contains,2,138,Dossier,Document,"{""Description"": {""value"": ""Nota sulle operazioni finanziarie sospette""}}"
link,138-139,Coinvolge,Involves,138,139,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento di Giovanni Bianchi""}}"
link,138-140,Coinvolge,Involves,138,140,Document,Location,"{""Description"": {""value"": ""La nota documenta le attività presso Via Roma 123""}}"
link,139-140,Frequenta,Attends,139,140,Person,Location,"{""Description"": {""value"": ""Giovanni Bianchi frequenta Via Roma 123 per le operazioni finanziarie""}}"
link,139-141,Contatto,Contact,139,141,Person,Phone,"{""Description"": {""value"": ""Numero di telefono di Giovanni Bianchi""}}"
link,139-142,Utilizza,Uses,139,142,Person,Vehicle,"{""Description"": {""value"": ""Giovanni Bianchi utilizza la BMW X6""}}"
link,141-142,Contatto,Contact,141,142,Phone,Vehicle,"{""Description"": {""value"": ""Telefono utilizzato per contatti relativi alla BMW X6""}}"
link,2-148,Documenta Operazioni Internazionali,Contains,2,148,Dossier,Document,"{""Description"": {""value"": ""Nota sulle operazioni internazionali sospette""}}"
link,148-149,Coinvolge,Involves,148,149,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento di Alberto Conti""}}"
link,148-150,Coinvolge,Involves,148,150,Document,Location,"{""Description"": {""value"": ""La nota documenta le attività presso Via Firenze 50""}}"
link,149-150,Frequenta,Attends,149,150,Person,Location,"{""Description"": {""value"": ""Alberto Conti frequenta Via Firenze 50 per le operazioni internazionali""}}"
link,149-151,Contatto,Contact,149,151,Person,Phone,"{""Description"": {""value"": ""Numero di telefono di Alberto Conti""}}"
link,149-152,Utilizza,Uses,149,152,Person,Vehicle,"{""Description"": {""value"": ""Alberto Conti utilizza la Range Rover Evoque""}}"
link,151-152,Contatto,Contact,151,152,Phone,Vehicle,"{""Description"": {""value"": ""Telefono utilizzato per contatti relativi alla Range Rover Evoque""}}"
link,149-5,AssociatoCon,AssociatedWith,149,5,Person,Person,"{""Description"": {""value"": ""Alberto Conti è collegato a Massimo Carminati per operazioni internazionali""}}"
link,150-6,Situato,BasedIn,150,6,Location,Location,"{""Description"": {""value"": ""Sede delle operazioni internazionali presso Immobiliare Roma Sud""}}"
link,149-7,Contatto,Contact,149,7,Person,Phone,"{""Description"": {""value"": ""Numero di telefono di Alberto Conti per contatti con Carminati""}}"
link,149-8,CoinvoltoIn,InvolvedIn,149,8,Person,Document,"{""Description"": {""value"": ""Alberto Conti coinvolto nella documentazione di riciclaggio""}}"
link,149-9,AssociatoCon,AssociatedWith,149,9,Person,Person,"{""value"": ""Alberto Conti è collegato a Salvatore Buzzi per operazioni internazionali""}}"
link,149-10,Gestisce,Manages,149,10,Person,Organization,"{""value"": ""Alberto Conti gestisce la Cooperativa 29 Giugno per operazioni internazionali""}}"
link,149-11,Partecipato,ParticipatedIn,149,11,Person,Event,"{""value"": ""Alberto Conti ha partecipato all'assegnazione di appalti sospetti""}}"
link,2-153,Documenta Operazioni Logistiche,Contains,2,153,Dossier,Document,"{""Description"": {""value"": ""Nota sulle operazioni logistiche sospette""}}"
link,153-154,Coinvolge,Involves,153,154,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento di Giuseppe Rossi""}}"
link,153-155,Coinvolge,Involves,153,155,Document,Location,"{""Description"": {""value"": ""La nota documenta le attività presso Via Logistica 300""}}"
link,154-155,Frequenta,Attends,154,155,Person,Location,"{""Description"": {""value"": ""Giuseppe Rossi frequenta Via Logistica 300 per le operazioni logistiche""}}"
link,154-156,Contatto,Contact,154,156,Person,Phone,"{""Description"": {""value"": ""Numero di telefono di Giuseppe Rossi""}}"
link,154-157,Utilizza,Uses,154,157,Person,Vehicle,"{""Description"": {""value"": ""Giuseppe Rossi utilizza il Volvo FH16""}}"
link,156-157,Contatto,Contact,156,157,Phone,Vehicle,"{""Description"": {""value"": ""Telefono utilizzato per contatti relativi al Volvo FH16""}}"
link,154-67,AssociatoCon,AssociatedWith,154,67,Person,Organization,"{""Description"": {""value"": ""Giuseppe Rossi è collegato al Banco Milano per operazioni logistiche""}}"
link,155-81,Situato,BasedIn,155,81,Location,Location,"{""Description"": {""value"": ""Sede delle operazioni logistiche presso Via Industriale 100""}}"
link,154-9,AssociatoCon,AssociatedWith,154,9,Person,Person,"{""Description"": {""value"": ""Giuseppe Rossi è collegato a Salvatore Buzzi per operazioni logistiche""}}"
link,154-10,Gestisce,Manages,154,10,Person,Organization,"{""Description"": {""value"": ""Giuseppe Rossi gestisce la Trasporti Veloci per operazioni logistiche""}}"
link,154-11,Partecipato,ParticipatedIn,154,11,Person,Event,"{""Description"": {""value"": ""Giuseppe Rossi ha partecipato all'assegnazione di appalti sospetti""}}"
link,2-183,Documenta Operazioni Finanziarie Internazionali,Contains,2,183,Dossier,Document,"{""Description"": {""value"": ""Nota sulle operazioni finanziarie internazionali sospette""}}"
link,183-184,Coinvolge,Involves,183,184,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento di Giulia Verdi""}}"
link,183-185,Coinvolge,Involves,183,185,Document,Location,"{""Description"": {""value"": ""La nota documenta le attività presso Via Europa 50""}}"
link,184-185,Frequenta,Attends,184,185,Person,Location,"{""Description"": {""value"": ""Giulia Verdi frequenta Via Europa 50 per le operazioni finanziarie internazionali""}}"
link,184-186,Contatto,Contact,184,186,Person,Phone,"{""Description"": {""value"": ""Numero di telefono di Giulia Verdi""}}"
link,184-187,Utilizza,Uses,184,187,Person,Vehicle,"{""Description"": {""value"": ""Giulia Verdi utilizza la Mercedes GLC""}}"
link,186-187,Contatto,Contact,186,187,Phone,Vehicle,"{""Description"": {""value"": ""Telefono utilizzato per contatti relativi alla Mercedes GLC""}}"
link,184-67,AssociatoCon,AssociatedWith,184,67,Person,Organization,"{""Description"": {""value"": ""Giulia Verdi è collegata al Banco Milano per operazioni finanziarie internazionali""}}"
